Q,A
What is an Application Completion Deadline?,"The Application Completion Deadline is the date by which the application for admission, application fee or fee waiver, and all necessary academic credentials and supporting documents must be submitted to UCF to be considered for admission. Academic credentials can include, but are not limited to high school transcripts, college or university transcripts, SAT, ACT or CLT scores, TOEFL, IELTS or CLEP scores, international transcript evaluations, and AICE, AP or IB score reports. Students failing to submit the required credentials or documentation by the Application Completion Deadline may be required to reapply for a future term. After your application and application fee are submitted and processed, a list of required documents will be available on your Future Knight Portal. If checklist items are not marked as received, your application is not complete and may not be reviewed by the admissions committee. Freshman Application Completion Deadlines Fall: May 1 Spring: November 1 Summer: March 1 NOTE: The Scholarship Priority Deadline for FTIC students applying for summer and fall is November 1. Transfer Application Completion Deadlines: Fall: July 1 Spring: November 1 Summer: March 1 All International Application Completion Deadlines Fall: March 1 Spring: September 1 Summer: January 1"
What is an official transcript?,"An official transcript is a sealed record sent directly to UCF from an institution you attended. You can send an official transcript yourself if the envelope has not been opened."
What is the difference between a student taking online courses and a student enrolled in a fully online program?,"Students admitted to UCF as campus-based students have complete access to UCF campus-based services and pay full tuition and fees. Campus based students may enroll in both online and campus-based courses. A UCF Online student is a strictly online student who does not attend courses on campus. UCF Online students pay reduced fees and do not have access to all campus based activities such as housing, health services, Recreation and Wellness Center, athletics, etc. UCF Online students may only enroll in online and video streaming courses."
What is the physical address of UCF Undergraduate Admissions?,"For certified or overnight mail, packages or if you plan to use a shipping service (e.g. DHL, FedEx, UPS, etc.), please send correspondences to the following address: UCF Undergraduate Admissions 12585 Gemini Boulevard South Orlando, FL 32816"
What methods of payment do you accept for my admission application fee and my enrollment deposit?,"A major credit or debit card is accepted as payment for both the $30 admission application fee (freshmen and transfer students) and the $200 enrollment deposit (freshmen students) ."
When do I have to send final transcripts to UCF?,"FRESHMEN:  A copy of your official final transcript showing the date of high school graduation is due no later than June 30 for students enrolling in the summer term and no later than July 15 for students enrolling in fall. If your transcript does not match information provided on your SPARK Form, your offer of admission may be rescinded. You must also submit official final transcripts from every post-secondary institution (i.e. dual enrollment) attended. TRANSFERS:  A copy of your official final transcripts from each institution attended is required. If you satisfied the foreign language requirement in high school, a copy of your official final high school transcript must be submitted to the Office of Undergraduate Admissions. ALL:  Failure to provide final transcripts to UCF may also delay the disbursement of financial aid. Failure to meet all admission criteria will result in a change in your eligibility for financial aid. Your admission is contingent upon your successful completion of all coursework at a level consistent with that at the time of admission. Your enrollment is not complete until all official final transcripts and test scores are on file in our office. The status of these transcripts is available on your Future Knight Portal. Failure to provide final transcripts will jeopardize your ability to adjust your schedule, register for future terms, receive grades or have transcripts sent to other institutions. NOTE: All documents, including documents submitted electronically, require processing time. Document processing time varies by time of year: Non-peak: 5-7 business days minimum Peak times (around application deadlines and first few weeks of each semester): 7-10 business days minimum To avoid delays, submit all required documents as early as possible and well before deadlines."
When will I receive an admission decision?,"First-Year Students: Decisions for first-year applicants to the 2024 summer and fall terms are expected to be released starting in mid-September and will continue on a rolling basis through May 1. Transfer Students: Transfer students will be notified of a decision as soon as possible once their application file is complete. This includes the application, application fee, transcripts from all colleges/universities attended, test scores (AICE, AP/IB/CLEP/TOEFL/IELTS if applicable), and high school transcripts (if applicable). All updates to application status will be available on the Future Knight Portal."
Will I receive college credit for my AICE/AP/CLEP/IB scores?,"Students can refer to the UCF catalog for Test Credit Equivalencies. UCF Test Credit Equivalencies"
When is the application completion deadline?,"Freshman Application Completion Deadlines Fall: May 1 Spring: November 1 Summer: March 1 NOTE: The Scholarship Priority Deadline for FTIC students applying for summer and fall is November 1. Transfer Application Completion Deadlines: Fall: July 1 Spring: November 1 Summer: March 1 All International Application Completion Deadlines Fall: March 1 Spring: September 1 Summer: January 1"
When is the best time to apply for admission?,"Freshmen should apply early (between September and November of their senior year in high school) for maximum consideration in the admission and scholarship review process. Transfer students should apply 6-9 months prior to the term for which you plan to enroll."
Who can apply to UCF using The Common Application?,"Currently, only first-time-in-college (freshmen) students may apply to UCF using the Common App. Students wishing to transfer to UCF should complete the UCF institutional application for admission. Additionally,first-time-in-college students may, if they choose, submit their application via the UCF institutional application for admission."
How do I check my application status using my Future Knight Portal?,"Please visit your Future Knight Portal and log in using your email address and password. The status page will display a checklist of required documents. You can confirm receipt of documents and view your admissions decision (if available)."
How will I be notified about an admission decision?,"For all changes to your admission status, including final decisions, you will receive an email sent to your current email address on file notifying you of the change. Your status will also be posted to your Future Knight Portal."
Can I enter grades of plus/minus on the SPARK form?,No. UCF does not recognize grades of plus and minus in the calculation of the high school or homeschool GPA.
Can I make edits to my SPARK form once it’s been completed and submitted?,No. Once your SPARK form is submitted, it will be locked and no further updates will be possible. You will have the opportunity to indicate schedule changes and add first semester grades once they are available (typically after the New Year).
Can I self-report test scores to UCF?,"UCF does not accept self-reported SAT, ACT, CLT, AP, IB, AICE or CLEP scores. Official score reports are to be submitted electronically or via mail to the Office of Undergraduate Admissions."
Can I submit a high school transcript instead of a SPARK form?,"No. High school or homeschool transcripts will only be accepted after you have graduated. The SPARK form serves as your academic record until such time that a final official transcript is available. Your application for admission will remain incomplete and will not be reviewed until the SPARK form has been received by the Office of Undergraduate Admissions."
Can I substitute the SRAR (self-reported academic record) or the SSAR (self-reported student academic record) for the SPARK form?,"No, UCF only accepts the SPARK form for self-reporting high school and homeschool coursework and grades."
Can I use the SPARK form to submit grades to other colleges?,"No, the SPARK form is proprietary to UCF and cannot be used for admission to other colleges."
Do I have to submit an official final college transcript for dual enrollment after graduation?,"If you took dual enrollment classes through a college or university during high school, an official final transcript must be sent to the Office of Undergraduate Admissions once your grades have posted, even if they appear on your high school transcript. A cumulative 2.0 GPA is required for dual enrollment courses."
Do I have to submit an official final high school transcript after graduation?,"Yes. An official final transcript showing the date of high school graduation is required to complete your application file. A final transcript is due to the Office of Undergraduate Admissions no later than June 30 for students enrolling in the summer term, and no later than July 15 for students enrolling in fall. All information on your final high school transcript will be verified. If your transcript does not match information provided on your SPARK form, your offer of admission may be changed to a different term or rescinded."
Do I have to submit first semester senior grades on the SPARK form once they are available?,"Yes. Once first semester senior grades are available, you will be prompted via email to log back into your Future Knight Portal to update your grades."
Do I need special programs or a browsers to complete and submit my application for admission or SPARK Form?,"The UCF institutional application and SPARK Form are currently compatible with Chrome, Firefox, Internet Explorer and Microsoft Edge. Users have experienced issues viewing, completing and submitting these forms when using Safari."
"Does the SPARK form weigh courses that are AP, IB, AICE, honors or dual enrollment automatically?","Yes. Report all grades exactly as they are listed on your high school or homeschool transcript. The course level designation will determine the amount of weight added to each accelerated course."
How do I enter grades on the SPARK form?,"You are required to have a copy of your current high school or homeschool transcript available to refer to when completing the SPARK form. Once you have your transcript nearby, visit the SPARK instructions page at www.ucf.edu/admissions/undergraduate/spark."
How do I report grades if I transferred high schools?,"If you have attended more than one high school, you will only list the high school you are graduating from.  You may add all transferred coursework under this school’s entry."
How do I report senior grades on my SPARK form?,"The SPARK Form uses semester grades only. If senior year first semester grades are available, enter them in the 1st semester grade field on the SPARK Form. If the courses are in-progress, choose “IP” as the grade. If second semester courses and grades are known at the time of submission, enter them in the 2nd semester grade field on the SPARK Form. If second semester courses are not known, leave the field blank. If second semester courses are in-progress, choose “IP” as the grade."
How do I update my SPARK form if my schedule changes?,"Once your SPARK form is submitted, it will be locked and no further updates will be possible. You will have the opportunity to indicate schedule changes and add first semester grades once they are available (typically after the New Year)."
My school does not issue grades in the traditional sense. How can I complete the SPARK?,"Some schools provide alternative evaluations of their coursework in lieu of letter grades or numbers on a scale. These systems of “grading” can take the form of performance evaluations or teacher narratives, among other things. If your school uses this system of evaluation, please DO NOT complete the SPARK Form and instead ask your high school to submit an official transcript to: UCF Undergraduate Admissions 12585 Gemini Boulevard S. Orlando, FL 32816-0111"
Should I complete and submit a SPARK form if I already graduated from high school?,"If you already graduated from high school, an official final copy of your high school transcript with graduation date posted should be sent to the Office of Undergraduate Admissions. DO NOT submit a SPARK form if you are applying for admission and have already graduated high school."
Should I complete and submit a SPARK form if I am home-schooled?,"Yes. If your homeschool follows a traditional U.S.-based high school curriculum, you should complete and submit a SPARK form. Otherwise, please email ucfsparkhelp@ucf.edu for assistance."
Should I complete and submit a SPARK form if I attend an international high school?,"DO NOT submit a SPARK form if you are attending a high school outside of the United States or U.S. Territory (excluding DoD schools and schools with U.S. accreditation). All official transcripts(s), graduation certificate(s) and/or leaving exam results for all secondary coursework completed outside of the United States must be submitted to the Office of Undergraduate Admissions. For more information, please review our international admissions requirements."
Should I include courses taken in middle school on the SPARK form?,"Every academic course that you have attempted or completed for high school credit – even if it was completed in middle school – must be listed on the SPARK form under the high school you will be graduating from."
Should I include courses taken through dual enrollment (college) on the SPARK form?,"Yes. Dual enrollment coursework should be added under the college or university where the course was taken."
Should I include repeated or withdrawn courses on the SPARK form?,"If you repeated coursework, only enter the course with the highest grade. NOTE: Repeat courses must exactly match previous attempts—including the course level. For example, if you took AP Biology and repeated the course as Biology Honors, this is not considered the same course and both courses must be added to the SPARK form. Courses that you withdrew from and earned a “W” do not count for credit and may be omitted."
What happens if I do not complete and submit a SPARK form?,"Your application for admission will remain incomplete and will not be reviewed until the SPARK form has been received by the Office of Undergraduate Admissions."
What if I am unsure what courses I will take in the second semester of my senior year?,"Leave the 2nd semester field blank if you have not planned or registered for courses in the second semester at the time of SPARK form submission."
What if I can’t find my high school listed within the SPARK form menu?,"The SPARK form automatically searches for schools as you type the school name. If you use an abbreviated name for your high school (e.g. Boone High School) and your school name does not appear, try entering the full name (e.g. William R. Boone High School). If your school still does not exist in SPARK, continue typing the full name and enter the address information at the bottom of the school entry section."
What if I make a mistake on the SPARK form?,"You are required to certify the accuracy of the information provided on your SPARK form at the time of submission. If you made an error, you can email ucfsparkhelp@ucf.edu."
What if my high school only has a numerical grading system and doesn’t include letter grades or an equivalent scale?,"If your high school transcript does not offer a letter grade equivalency, please use the chart below to convert your grades from numbers to the appropriate letter grade. Note: Only use this scale if your high school DOES NOT provide a chart of their own. 90-100 A, 80-89 B, 70-79 C, 60-69 D, 59 and below F"
What is the Self Provided Academic Record for Knights (SPARK) form?,"The SPARK form is an online portal through which first-time-in-college applicants self-report their high school courses and grades for admission to the University of Central Florida."
What should I put on my SPARK Form if my school does not provide a numerical class rank?,"If your school does not provide a numerical class rank (e.g., #9 out of 100), you should leave the class rank and size fields blank on the SPARK Form. Do not enter any numbers (even zeroes) in this section."
When and where can I access the SPARK Form?,"You can create and submit your SPARK Form after you submit your application in your Future Knight Portal. The link to access your SPARK Form is located on the “status” page."
When does the SPARK Form need to be completed and submitted?,"We recommend that you complete and submit the SPARK form as soon as the link is available on your Future Knight Portal. Your application for admission will remain incomplete and will not be reviewed until the SPARK Form has been received by the Office of Undergraduate Admissions."
Where are the instructions for completing and submitting the SPARK form?,"Instructions are listed at admissions.ucf.edu/spark. In addition to reviewing the instructions, you are required to have a copy of your current high school or homeschool transcript available to refer to when completing your SPARK form."
Where can I find instructions for completing and submitting the SPARK form?,"Complete instructions can be found at www.ucf.edu/admissions/undergraduate/spark/."
Where do I create and submit my SPARK form?,"Once your application is received and processed, a link to the SPARK form will be available on your Future Knight Portal."
Who can I contact if I encounter difficulty submitting my SPARK form?,"You can email us at ucfsparkhelp@ucf.edu."
Who is required to complete and submit the SPARK form?,"All First-time In College applicants who are attending a high school in the United States or U.S. Territory (including Puerto Rico) or who are attending a DoD high school or U.S.-regionally-accredited high school overseas must complete and submit a SPARK form, with the following exceptions: If you have already graduated from high school, DO NOT SUBMIT THIS FORM. Submit your official final high school transcript to the Office of Undergraduate Admissions electronically or by mail. If you have earned a GED, DO NOT SUBMIT THIS FORM. Submit your GED scores and partial high school transcript(s) to the Office of Undergraduate Admissions. Reminder: If you are attending an overseas high school, your official transcripts(s), graduation certificate(s) and/or leaving exam results for all secondary coursework completed outside of the United States must be submitted to the Office of Undergraduate Admissions. For more information, please review our international admissions requirements."
Are tours offered in rain and other inclement weather?,"Weather in Central Florida can be unpredictable, so plan accordingly. For your safety, and that of our Student Ambassadors, the campus tour portion of your visit may be canceled in the event of inclement weather. Don’t worry, though — you’ll still receive the same valuable information from our Student Ambassadors through a virtual tour and Q&A panel."
Can I choose which Open House sessions to attend?,"You will choose your own sessions based upon the times they are offered. Many of our sessions do not repeat, and some even overlap, so you’ll have to decide which sessions best suit your interests. While activities are scheduled through 3:00 p.m., we advise that you arrive early and stay for the entire event to make the most of your visit."
Can I go on a campus tour at a Knight for a Day Open House?,"Yes! A limited number of campus tours are offered during each Knight for a Day Open House. Because there are so many activities for you to choose from, your tour may be shorter than a regular Campus Visit Experience, but we’ll squeeze as much information in as possible. Housing tours are self-guided, giving you the flexibility to view only those communities that interest you. We’ll post signs on campus directing you to our housing areas. Once you get there, a member of our housing staff will be on hand to answer questions and show you around. Not every housing community is open, but you’ll be able to view a broad selection. And finally, our tours do not include the library or our bookstore, but we encourage you to stop in during your free time. UCF is a Smoke-Free Campus."
Can I go on a campus tour?,"Yes! A limited number of campus tours are offered. Because there are so many activities for you to choose from, your tour may be shorter than a regular visit, but we’ll squeeze as much information in as possible. Housing tours are self-guided, giving you the flexibility to view only those communities that interest you. We’ll post signs on campus directing you to our housing areas. Once you get there, a member of our housing staff will be on hand to answer questions and show you around. Not every housing community is open, but you’ll be able to view a broad selection. And finally, our tours do not include the library or our bookstore, but we encourage you to stop in during your free time."
Do I have to register for a tour?,"Yes, each student must register to attend a campus event, though parents and other family members can register as guests under one student’s name. We want to make certain that everyone gets the attention they need, and fewer people means more one-on-one attention for you, so we limit space. If you need to cancel, please let us know so we can allow others to attend. A cancellation link appears in the confirmation email that was sent to you when you signed up."
Do I have to register to attend a "Knight For A Day" Open House?,"Yes, each prospective student must register to attend, though parents can register as guests under one student’s name. We want to make sure everyone gets the attention they need — fewer people means more one-on-one attention for you. For that reason, we limit space. So, if you need to cancel, please let us know so we can allow others to attend. A cancellation link appears in the confirmation email that was sent to you when you signed up."
Do transfer students need to attend an Open House?,"Attending an open house is optional for all prospective UCF students. It’s true that most of the information at our open house events will be geared toward freshmen, but there are still many presentations beneficial to transfer students. One of the presentations is specifically about transferring to UCF, for example."
Does the campus tour include a look inside on-campus housing?,"There is an optional housing tour offered at the end of the campus tour. The housing tours are offered at noon and 4 p.m. (Monday through Friday)."
Does UCF provide food or drinks for a campus visit or Open House?,"It’s not part of the program, but UCF does have several options on and near the campus. There are plenty of places to get a drink and eat on campus too. It gets warm in Florida, so be sure to bring some water with you."
How is a Knight for a Day Open House different from the Campus Visit Experience?,"Knight for a Day Open House events give you more information about UCF’s campus, programs, housing, student life and more. The Campus Visit Experience is a tour of the campus — it’s included in the Open House event, but may be condensed due to time constraints. In addition, you will also learn about admissions, financial aid and academics. You don’t have to take the tour during an Open House event, but we highly recommend you attend."
How many stops are included on the campus tour?,"During your campus visit, Student Ambassadors will lead you on a 90-minute walking tour around campus, making 10 stops. You’ll take a walk through Memory Mall, stroll by the Reflecting Pond, and visit the Student Union in the center of campus."
How should I plan for a campus visit?,"The best time to experience UCF is when classes are in session. Consider visiting our campus: On Tuesdays, Wednesdays or Thursdays In January, February, May, June or November Avoid Holidays & University Breaks Avoid visiting the campus on holidays or during special campus events — you’ll miss out on important features. UCF is closed on the following holidays: New Year’s Day, Martin Luther King Jr. Day, Memorial Day, Independence Day, Labor Day, Veterans Day, Thanksgiving Day (and the day after), Christmas. Tours may also be canceled or limited during university breaks when classes are not in session: Winter Break (3rd week of December – 2nd week of January), Spring Break (varies, but typically 2nd week of March), Fall, Spring & Summer Intersession (period between semesters). Pet Policy Pets are not permitted on campus except as authorized by the university or when a disability requires the presence of a service or support animal that is both necessary and reasonable under the circumstances. UCF is a Smoke-Free Campus."
Is there anywhere I can get something to eat or drink while on campus?,"You can grab a sandwich on the go from Subway, Jimmy John’s, Chick-fil-A or one of the numerous other convenient eateries on campus. Knightro’s and The Marketplace ’63 South offer all-you-can-eat dining, or you can catch a game and a burger at Chili’s or Huey Magoo’s. There is also a wide selection of area restaurants off campus, many of which are located within 1 mile of campus."
Ok, I’m registered for an Open House. Where do I go and when?,"Once you get to the main campus, park in Garage A (free of charge), then walk to the Student Union — there will be signs in place to help you find your way. Once inside, go to the Pegasus Ballroom. Our campus is a walking campus, so there is no transportation between the garage and the Student Union. Consult your confirmation for the event’s start time and arrive early to avoid waiting in line."
What activities are offered during a campus visit or Open House?,"The Campus Visit Experience is offered Monday – Friday at 10 a.m. and 2 p.m. year-round, except on holidays. During university breaks and periods where classes are not in session (e.g. intersession, spring break, etc.), we may cancel or reduce the availability of tours.  The Campus Visit Experience includes a 15-minute information session led by an admissions representative.  A 90-minute walking tour of campus follows.  Optional tours of select UCF housing communities are offered at 12-noon at 4 p.m. for interested parties. “Knight For A Day” Open House events are held on select Saturdays throughout the year and are daylong programs intended to provide more in-depth information about UCF.  Activities and sessions are subject to variation, but typically include presentations by academic colleges, campus tours, housing tours and housing information sessions.  Representatives from support services and student activities exhibit in an expo-style setting at each event.  Special programs, such as LEAD Scholars, the Burnett Honors College, EXCEL and COMPASS, and others may provide opportunities to engage with program administrators or peers.  Sessions on transferring, student financial assistance, scholarships and admission are also offered."
What do I wear for a campus tour or Open House, and how do I get around?,"It’s usually hot in Florida. Dress in layers to adjust to the changes in temperature from the heat outside to the air-conditioned buildings. There will be a lot of walking and Florida is sometimes rainy, so wear comfortable shoes and bring an umbrella — just in case. Shuttle service is not offered during Open House events."
Where can I park for a campus visit, and will I need a pass for my vehicle?,"When you arrive on campus, stop by the Visitor and Parking Information Center to purchase a daily parking pass ($5) before parking in any student lot, including spaces reserved for guests with disabilities. You can also purchase a parking pass at one of the daily permit dispensers located in all student parking facilities. Cashless short-term parking spaces are available adjacent to the Welcome Center and require the Passport App to be downloaded onto your smart device. Parking is available in student lots B-4, B-5 and B-6, all of which are in close proximity to the Duke Energy University Welcome Center."
Who can I call if I get lost on my way to campus?,"A hotline with directions to campus is available 24/7 by calling 407-882-0909."
Can I bring my pet when I visit campus?,"Pets are not permitted on campus except as authorized by the university or when a disability requires the presence of a service or support animal that is both necessary and reasonable under the circumstances."
Can anyone take online courses?,"Due to restrictive state regulations, UCF is not permitted to provide online courses or instruction to students in some states. The list of states currently restricted is available at the Registrar’s website. While residing in one of these states you may not be permitted to enroll in UCF Online courses."
Can I change my entrance term to UCF?,"Offers of admission are term-specific and are not transferrable to another semester. Transfer Students – Offers of admission are term-specific and are not transferrable to another semester. Transfer students wishing to change their entrance term — either before or after they are admitted – must reapply and submit a new application fee or eligible fee waiver. Freshman or First Time in College (FTIC) – FTIC students wishing to change their entrance term after they are admitted, should contact the Office of Undergraduate Admissions for additional instructions."
Can I defer my admission for a future term if I'm not ready to attend?,"No, you must enroll for the term indicated on your admission letter. If you do not register for your original admission term, your classes will be dropped for subsequent terms and your admission revoked. Check your admission letter for the accuracy of your name, entrance term, address and major."
Can I go on a campus tour at an Admitted Student Open House?,"Yes! A limited number of campus tours are offered. Because there are so many activities for you to choose from, your tour may be shorter than a regular visit, but we’ll squeeze as much information in as possible. Housing tours are self-guided, giving you the flexibility to view only those communities that interest you. We’ll post signs on campus directing you to our housing areas. Once you get there, a member of our housing staff will be on hand to answer questions and show you around. Not every housing community is open, but you’ll be able to view a broad selection. And finally, our guided tours do not include every corner of campus, but we encourage you explore during your free time or after the event concludes."
Can I use my merit scholarship for summer semesters?,"Your merit scholarship does not apply to the first summer semester after high school at UCF. However, students may request future summer semester scholarship disbursements from the Office of Student Financial Assistance."
Do I have to accept my admission offer and put down the deposit before I can apply for housing?,"No. Admitted freshmen can apply for housing as soon as it opens in mid-November. Students have until May 1 to commit and pay the $200 enrollment deposit."
Do I have to register to attend the Admitted Student Open House?,"Yes, each admitted student must register to attend, though parents and other family members can register as guests under one student’s name. Please consult your email invitation for the link to our registration form. We want to make certain that everyone gets the attention they need, and fewer people means more one-on-one attention for you, so we limit space. If you need to cancel, please let us know so we can allow others to attend. A cancellation link appears in the confirmation email from when you signed up."
Do I still need to pay the nonrefundable enrollment deposit if I am offered or accept my scholarship?,"Yes, you must still submit the nonrefundable enrollment deposit even if you are offered or accept your scholarship."
Does UCF offer Study Abroad Programs?,"Study abroad can broaden one’s view of themselves and the world around them. Students often return with a refined sense of what they want to achieve in life and increased maturity, confidence and motivation. Please visit UCF Study Abroad for more information about programs and program options."
How can I accept my merit scholarship?,"If you have been awarded a merit scholarship, instructions for accepting your award will be provided through email and written correspondence."
How can I find out what courses or credits will transfer to UCF?,"College-level coursework from other accredited institutions of higher education, meeting university transfer eligibility requirements will transfer to UCF. However, all your credits may not meet the specific requirements of your degree program. The department of your major will determine how these credits will be used and applied toward your degree. UCF currently uses a plus/minus system in calculating a grade point average for transferred coursework. In addition, grade forgiveness is only honored if it has been awarded in conjunction with an A.A. or statewide articulated A.S. degree from a Florida public community college, state college or university. All incoming courses will be reviewed for UCF equivalency once you are admitted. The Transfer Credit Evaluation, located in your myUCF portal (navigate to Student Self Service > Other Academic) will list all courses received at the time of admission as well as any associated UCF equivalencies. For courses without a UCF equivalent, you will have the opportunity to upload a syllabus and the course will be evaluated. You will have limited time to submit syllabi if needed, so you should review the Transfer Credit Evaluation in myUCF at your earliest convenience. UCF has created a convenient transfer equivalency portal to access a database of established course equivalencies from other institutions. While actual awarding of transfer credit occurs after official transcripts are received from the sending institution, the portal can provide guidance as you plan your transition to UCF."
How can I gain readmission if I previously attended UCF?,"Submit your readmission application through the Registrar’s Office. You can contact the office at registrar.ucf.edu or 407-823-3100."
How do I let UCF know that I want to attend?,"Confirm your offer of admission by logging in to your Future Knight Portal. First-Time-In-College (freshmen) students are required to submit a nonrefundable $200 enrollment deposit by May 1. You cannot register for Orientation until this deposit has been paid. The enrollment deposit can be submitted online by credit or debit card. Visit our FAQ to learn how to request a waiver of the enrollment deposit on the basis of a financial hardship. Transfer students who have completed 12 or more college credits after high school graduation are not required to submit an enrollment deposit."
How do I obtain/verify Florida residency for tuition purposes?,"Your residency classification is based upon information from your application — documentation of your Florida residency may be required. If you have already attended UCF as an undergraduate student and wish to reclassify your residency for tuition purposes, please visit the registrar’s office website for information on residency reclassification."
How do I submit residency documents to Undergraduate Admissions?,"Once admitted, complete the Residency Declaration Form on your Future Knight Portal checklist. Residency status for tuition purposes will be reflected in myUCF following verification. Once you register for classes, access your fee invoice in myUCF and ensure that the appropriate tuition and fees are assessed."
How is the Admitted Student Open House different from the daily Campus Visit Experience?,"Open Houses for Admitted Students offer more information about UCF’s campus, programs, housing and student life than a regular visit to campus. The daily Campus Visit Experience is a tour of the campus — it’s included in our Open House, but may be condensed due to time constraints. At an Admitted Student Open House, you will also learn about academics, student activities, housing, the LEAD Scholars Program and more, and you’ll have more access to faculty, administrators and current UCF students."
I am not ready to make my final college selection. Should I still accept my merit scholarship offer?,"If you are still evaluating your college options, please request an extension on your scholarship offer. An extension lasts until May 1."
"I have already received a merit scholarship offer from UCF, but I have improved my grades and/or ACT/SAT/CLT. Will UCF automatically review me for a scholarship upgrade?","Given that we begin awarding scholarships early in the year, there is no guarantee that UCF will be able to offer awards based upon new information. Please contact the Scholarship Coordinator."
I have submitted my nonrefundable Enrollment Deposit. Will I still need to accept my scholarship?,"Yes. If you have been awarded a merit scholarship, you must accept your award even if you have submitted your Enrollment Deposit. Instructions for accepting your award will be provided by email and written correspondence."
I've been admitted for summer. Which term can I begin?,"UCF offers four summer terms: A, B, C and D. New first-year students may only start in the Summer B term, which is a six-week term typically beginning in late June and concluding in early August."
I've been asked to submit a copy of my SSN to UCF. Why?,"If you receive a request for a copy of your Social Security Card, it means that UCF has a blank or invalid Social Security Number (SSN) on file for you. Not having a valid SSN on file will prevent you from having aid awarded through Florida Bright Futures and/or the Free Application for Federal Student Aid (FAFSA). Additionally, a valid SSN is required to process certain third party payments, such as Florida Prepaid. You may upload a copy of your Social Security Card through our secure Qualtrics portal at https://ucf.qualtrics.com/jfe/form/SV_daIPksdbz2j64mN. Once received, your student record will be updated within 15 business days."
I've been offered admission. How can I request an enrollment deposit waiver?,"Your $200 non-refundable enrollment deposit and $2 convenience fee is due no later than May 1 for the summer and fall semesters, and December 1 for the spring semester. After accepting an offer of admission on your Future Knights Portal, the application status page will display a new line titled “Payment Due”. You can request a waiver of the $200 enrollment deposit by uploading one of the following items: An SAT, ACT or NACAC fee waiver from your high school guidance office Documentation from your high school showing your eligibility for a free or reduced lunch Your family’s most recent tax return You will receive a response from our office once your waiver request is received and processed."
"If I accept my scholarship, am I obligated to attend UCF?","No, accepting your scholarship does not obligate you to attend UCF. You have until May 1 to submit your enrollment deposit, which lets us know you will be attending. If you are unsure of your final decision at the time your scholarship is awarded, please choose the “Extend” option, which gives you until May 1 to accept your award."
"If I am admitted to a major that is on the UCF Downtown campus, can I still take classes on the main campus?","More than 20 academic programs are offered at UCF Downtown. Lower-level courses are offered both downtown and on the main campus. If an academic program is based downtown all of the required courses in that degree program are held at the downtown campus or—if offered by the program—online."
Is there a mandatory summer enrollment requirement at UCF?,"Yes. The Florida Board of Governors requires all students who enter a Florida public university with less than 60 semester hours to complete at least nine semester hours prior to graduation by attending one or more summer sessions. University presidents or their designees may waive the application of this regulation in cases of unusual hardship to the individual."
Is there an agenda for the Admitted Student Open House?,"Yes. View a sample agenda of the day’s events. Times, sessions and locations are subject to change; an official program will be made available at the event."
Ok, I’m registered for the Admitted Student Open House. Where do I go and when?,"Once you arrive on our main campus, park in Garage A (free of charge), then walk to the Student Union—there will be signs in place to help you find your way. Once inside, go to the Pegasus Ballroom. Our campus is a walking campus, so there is no transportation between the garage and the Student Union. Check-in happens from 8:00 to 9:00 a.m., and the event concludes at 3:00 p.m. Arrive early to avoid waiting in line."
What are my NID and my UCFID?,"Your NID is your secure sign-on for many systems at UCF, including myUCF and online courses. To obtain your NID, go to myUCF, click Sign On, click What is my NID, then follow the instructions to obtain your NID and create a password. Your UCF ID is the number you will use to identify yourself when you call or visit offices across campus, including Undergraduate Admissions. To obtain your UCF ID, go to myUCF, log in using your NID and password, click Student Self Service > Personal Information >UCF ID Info. This page will display your UCF ID, your NID and your UCF ID Card number, once you have been issued one."
What happens if UCF does not receive my final transcripts, test scores or residency documentation?,"Failure to provide final transcripts, official test scores or residency documentation will result in a hold being placed on your account. These holds will affect your ability to adjust your schedule, register for future terms, receive grades or have transcripts sent to other institutions. These holds will also delay the disbursement of financial aid."
What if I am admitted off of the waitlist after the May 1 enrollment deposit deadline?,"It is possible that you will be notified of your decision after the May 1 deadline. This is not unusual for students on the waitlist. If you are admitted, you will be given a new deposit deadline."
What is the difference between a student taking online courses and a student enrolled in a fully online program?,"Students admitted to UCF as campus-based students have complete access to UCF campus-based services and pay full tuition and fees. Campus based students may enroll in both online and campus-based courses. A UCF Online student is a strictly online student who does not attend courses on campus. UCF Online students pay reduced fees and do not have access to all campus based activities such as housing, health services, Recreation and Wellness Center, athletics, etc. UCF Online students may only enroll in online and video streaming courses."
What is the physical address of UCF Undergraduate Admissions?,"For certified or overnight mail, packages or if you plan to use a shipping service (e.g. DHL, FedEx, UPS, etc.), please send correspondences to the following address: UCF Undergraduate Admissions 12585 Gemini Boulevard South Orlando, FL 32816"
What special programs does UCF offer?,"Once you have been offered admission to UCF, you may want to consider applying to one or more of the following programs. They are designed to help you get the most out of your academic experience."
When can I attend Orientation?,"Orientation is your chance to get acquainted with UCF’s services, meet an advisor, and register for classes. We encourage students to register for the earliest Orientation session possible. The earlier you respond, the better your opportunity for your first-choice session. For more information about our mandatory Orientation, visit orientation.ucf.edu."
